state,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,jammu &kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
2011,508.84,36.74,263.77,334.39,151.32,2.96,502.12,192.9,130.76,172.46,259.45,160.96,131.08,392.75,442.69,7.22,14.65,8.55,4.97,391.58,222.92,600.66,22.75,293.52,0,19.31,385.39,117.66,304.83
2012,534.28,38.58,276.96,351.21,158.89,3.11,527.23,202.55,137.3,181.08,272.42,169.01,137.63,412.39,464.82,7.58,15.38,8.98,5.22,411.16,234.07,630.69,23.89,308.2,0,202.28,404.66,123.54,320.07
2013,560.99,40.51,290.81,368.77,166.83,3.27,553.59,212.68,144.17,190.13,286.04,177.46,144.51,433.01,488.06,7.96,16.15,9.43,5.48,431.72,245.77,662.22,25.08,323.61,0,21.29,424.89,129.72,336.07
2014,589.04,42.54,305.35,387.21,175.17,3.43,581.27,223.31,151.38,199.64,300.34,186.33,151.74,454.66,512.46,8.36,16.96,9.9,5.75,453.31,258.06,695.33,26.33,339.79,0,22.35,446.13,136.22,352.87
2015,367.26,44.67,320.62,406.57,183.93,3.6,610.33,234.48,158.95,209.62,315.36,195.65,159.33,477.39,538.08,8.78,17.81,10.4,6.04,475.98,270.96,730.1,27.65,356.78,0,23.47,468.44,143.02,370.51
2016,440,52,460,469,241,4,705,308,236,255,364,276,185,877,1483,19,24,17,10,747,390,1103,31,679,274,31,675,210,516
2017,462,55,483,492,253,4,740,323,248,268,382,290,194,921,1557,20,25,18,10,785,409,1158,33,713,288,33,709,220,542
2018,485,57,507,517,265,4,777,339,260,281,401,305,204,967,1635,21,27,19,11,824,430,1216,34,748,302,34,744,231,569
2019,509,60,532,543,278,4,816,356,273,295,421,320,214,1016,1717,22,28,20,11,865,451,1277,36,786,317,36,781,243,598
2020,534,63,559,570,292,4,856,374,287,310,442,336,225,1066,1803,23,29,20,12,909,447,1340,38,825,333,38,820,255,628
2021,372,28,86,472,144,3,441,164,45,0,189,263,105,607,1074,5,7,5,5,535,165,494,6,340,150,8,645,104,337
2022,297.6,22.4,68.8,377.6,115.2,2.4,352.8,131.2,36,0,151.2,210.4,84,485.6,859.2,4,5.6,4,4,428,132,395.2,4.8,272,120,6.4,516,83.2,269.6
2023,312.8,23.2,72,396.8,120.8,3.2,370.4,137.6,38.4,0,158.4,221.6,88,509.6,902.4,4,6.4,4,4,448.8,138.4,414.4,4.8,285.6,125.6,6.4,541.6,87.2,283.2
